Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Dec 28 2013,7:00p,New York Knicks,100,Toronto Raptors,115,Box Score,,19800,2:18,Air Canada Centre,
Sat Dec 28 2013,7:00p,Detroit Pistons,82,Washington Wizards,106,Box Score,,19336,2:05,Verizon Center,
Sat Dec 28 2013,7:30p,Charlotte Bobcats,116,Atlanta Hawks,118,Box Score,OT,15180,2:26,Philips Arena,
Sat Dec 28 2013,8:00p,Dallas Mavericks,105,Chicago Bulls,83,Box Score,,22099,2:02,United Center,
Sat Dec 28 2013,8:00p,New Orleans Pelicans,98,Houston Rockets,107,Box Score,,18233,2:11,Toyota Center,
Sat Dec 28 2013,8:00p,Denver Nuggets,99,Memphis Grizzlies,120,Box Score,,17017,2:10,FedEx Forum,
Sat Dec 28 2013,8:30p,Minnesota Timberwolves,117,Milwaukee Bucks,95,Box Score,,14971,2:03,BMO Harris Bradley Center,
Sat Dec 28 2013,9:00p,Philadelphia 76ers,101,Phoenix Suns,115,Box Score,,15623,2:15,US Airways Center,
Sat Dec 28 2013,10:00p,Miami Heat,108,Portland Trail Blazers,107,Box Score,,20071,2:11,Moda Center,
Sat Dec 28 2013,10:30p,Utah Jazz,90,Los Angeles Clippers,98,Box Score,,19278,2:12,STAPLES Center,
Sun Dec 29 2013,6:00p,Golden State Warriors,108,Cleveland Cavaliers,104,Box Score,OT,19384,2:31,Quicken Loans Arena,
Sun Dec 29 2013,6:00p,Atlanta Hawks,102,Orlando Magic,109,Box Score,,15415,2:11,Amway Center,
Sun Dec 29 2013,7:00p,Houston Rockets,86,Oklahoma City Thunder,117,Box Score,,18203,2:05,Chesapeake Energy Arena,
Sun Dec 29 2013,7:00p,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,18581,2:08,AT&T Center,
Sun Dec 29 2013,9:30p,Philadelphia 76ers,111,Los Angeles Lakers,104,Box Score,,18997,2:17,STAPLES Center,
Mon Dec 30 2013,7:30p,Washington Wizards,106,Detroit Pistons,99,Box Score,,15050,2:21,The Palace of Auburn Hills,
Mon Dec 30 2013,8:00p,Chicago Bulls,95,Memphis Grizzlies,91,Box Score,,17688,2:22,FedEx Forum,
Mon Dec 30 2013,8:00p,Dallas Mavericks,100,Minnesota Timberwolves,98,Box Score,,16111,2:12,Target Center,
Mon Dec 30 2013,8:00p,Portland Trail Blazers,108,New Orleans Pelicans,110,Box Score,,17035,2:13,Smoothie King Center,
Mon Dec 30 2013,9:00p,Miami Heat,97,Denver Nuggets,94,Box Score,,19155,2:24,Pepsi Center,
Mon Dec 30 2013,9:00p,Charlotte Bobcats,80,Utah Jazz,83,Box Score,,19125,2:00,EnergySolutions Arena,
Mon Dec 30 2013,10:30p,Phoenix Suns,107,Los Angeles Clippers,88,Box Score,,19278,2:11,STAPLES Center,
Tue Dec 31 2013,1:00p,Atlanta Hawks,92,Boston Celtics,91,Box Score,,18624,2:06,TD Garden,
Tue Dec 31 2013,3:00p,Cleveland Cavaliers,76,Indiana Pacers,91,Box Score,,18165,2:13,Bankers Life Fieldhouse,
Tue Dec 31 2013,5:00p,Golden State Warriors,94,Orlando Magic,81,Box Score,,15062,2:00,Amway Center,
Tue Dec 31 2013,7:00p,Sacramento Kings,110,Houston Rockets,106,Box Score,,18232,2:21,Toyota Center,
Tue Dec 31 2013,7:00p,Brooklyn Nets,92,San Antonio Spurs,113,Box Score,,17409,2:09,AT&T Center,
Tue Dec 31 2013,8:00p,Toronto Raptors,85,Chicago Bulls,79,Box Score,,21507,2:28,United Center,
Tue Dec 31 2013,8:00p,Portland Trail Blazers,98,Oklahoma City Thunder,94,Box Score,,18203,2:15,Chesapeake Energy Arena,
Tue Dec 31 2013,10:30p,Milwaukee Bucks,94,Los Angeles Lakers,79,Box Score,,18997,2:05,STAPLES Center,
Wed Jan 1 2014,6:00p,Dallas Mavericks,87,Washington Wizards,78,Box Score,,15713,2:09,Verizon Center,
Wed Jan 1 2014,7:00p,Indiana Pacers,82,Toronto Raptors,95,Box Score,,18271,2:19,Air Canada Centre,
Wed Jan 1 2014,8:00p,New Orleans Pelicans,112,Minnesota Timberwolves,124,Box Score,,14002,2:06,Target Center,
Wed Jan 1 2014,9:00p,Philadelphia 76ers,114,Denver Nuggets,102,Box Score,,16006,2:14,Pepsi Center,
Wed Jan 1 2014,9:30p,Charlotte Bobcats,85,Los Angeles Clippers,112,Box Score,,19160,2:05,STAPLES Center,
Thu Jan 2 2014,7:00p,Orlando Magic,81,Cleveland Cavaliers,87,Box Score,OT,14248,2:31,Quicken Loans Arena,
Thu Jan 2 2014,7:30p,Golden State Warriors,123,Miami Heat,114,Box Score,,20350,2:13,AmericanAirlines Arena,
Thu Jan 2 2014,8:00p,Boston Celtics,82,Chicago Bulls,94,Box Score,,21721,2:17,United Center,
Thu Jan 2 2014,8:00p,Brooklyn Nets,95,Oklahoma City Thunder,93,Box Score,,18203,2:20,Chesapeake Energy Arena,
Thu Jan 2 2014,8:30p,New York Knicks,105,San Antonio Spurs,101,Box Score,,18581,2:17,AT&T Center,
Thu Jan 2 2014,9:00p,Memphis Grizzlies,99,Phoenix Suns,91,Box Score,,14844,2:05,US Airways Center,
Thu Jan 2 2014,9:00p,Milwaukee Bucks,87,Utah Jazz,96,Box Score,,16012,1:58,EnergySolutions Arena,
Thu Jan 2 2014,10:00p,Charlotte Bobcats,104,Portland Trail Blazers,134,Box Score,,20014,2:01,Moda Center,
Thu Jan 2 2014,10:00p,Philadelphia 76ers,113,Sacramento Kings,104,Box Score,,16259,2:23,Sleep Train Arena,
Fri Jan 3 2014,7:00p,Toronto Raptors,101,Washington Wizards,88,Box Score,,14940,2:00,Verizon Center,
Fri Jan 3 2014,7:30p,Golden State Warriors,101,Atlanta Hawks,100,Box Score,,15210,2:13,Philips Arena,
Fri Jan 3 2014,7:30p,New Orleans Pelicans,95,Boston Celtics,92,Box Score,,18624,2:25,TD Garden,
Fri Jan 3 2014,8:00p,New York Knicks,100,Houston Rockets,102,Box Score,,18304,2:17,Toyota Center,
Fri Jan 3 2014,8:30p,Los Angeles Clippers,119,Dallas Mavericks,112,Box Score,,20187,2:19,American Airlines Center,
Fri Jan 3 2014,9:00p,Memphis Grizzlies,108,Denver Nuggets,111,Box Score,,17608,2:21,Pepsi Center,
Fri Jan 3 2014,10:30p,Utah Jazz,99,Los Angeles Lakers,110,Box Score,,18997,2:12,STAPLES Center,
Sat Jan 4 2014,7:00p,New Orleans Pelicans,82,Indiana Pacers,99,Box Score,,18165,2:08,Bankers Life Fieldhouse,
Sat Jan 4 2014,7:00p,Miami Heat,110,Orlando Magic,94,Box Score,,18846,2:11,Amway Center,
Sat Jan 4 2014,7:30p,Cleveland Cavaliers,82,Brooklyn Nets,89,Box Score,,17732,2:16,Barclays Center,
Sat Jan 4 2014,8:00p,Atlanta Hawks,84,Chicago Bulls,91,Box Score,,21539,2:08,United Center,
Sat Jan 4 2014,8:00p,Oklahoma City Thunder,115,Minnesota Timberwolves,111,Box Score,,18065,2:26,Target Center,
Sat Jan 4 2014,8:30p,Los Angeles Clippers,92,San Antonio Spurs,116,Box Score,,18581,2:06,AT&T Center,
Sat Jan 4 2014,9:00p,Milwaukee Bucks,100,Phoenix Suns,116,Box Score,,14344,2:10,US Airways Center,
Sat Jan 4 2014,10:00p,Philadelphia 76ers,101,Portland Trail Blazers,99,Box Score,,20004,2:25,Moda Center,
Sat Jan 4 2014,10:00p,Charlotte Bobcats,113,Sacramento Kings,103,Box Score,,16410,2:11,Sleep Train Arena,
Sun Jan 5 2014,1:00p,Memphis Grizzlies,112,Detroit Pistons,84,Box Score,,14134,2:07,The Palace of Auburn Hills,
Sun Jan 5 2014,6:00p,Indiana Pacers,82,Cleveland Cavaliers,78,Box Score,,17502,2:19,Quicken Loans Arena,
Sun Jan 5 2014,6:00p,Toronto Raptors,97,Miami Heat,102,Box Score,,20020,2:15,AmericanAirlines Arena,
Sun Jan 5 2014,6:00p,Golden State Warriors,112,Washington Wizards,96,Box Score,,17390,2:02,Verizon Center,
Sun Jan 5 2014,7:00p,Boston Celtics,96,Oklahoma City Thunder,119,Box Score,,18203,2:12,Chesapeake Energy Arena,
Sun Jan 5 2014,7:30p,New York Knicks,92,Dallas Mavericks,80,Box Score,,19892,2:13,American Airlines Center,
Sun Jan 5 2014,9:30p,Denver Nuggets,137,Los Angeles Lakers,115,Box Score,,18997,2:16,STAPLES Center,
Mon Jan 6 2014,7:00p,Minnesota Timberwolves,126,Philadelphia 76ers,95,Box Score,,10736,2:01,Wells Fargo Center,
Mon Jan 6 2014,7:30p,Atlanta Hawks,86,Brooklyn Nets,91,Box Score,,15326,2:19,Barclays Center,
Mon Jan 6 2014,10:30p,Orlando Magic,81,Los Angeles Clippers,101,Box Score,,19060,2:06,STAPLES Center,
Tue Jan 7 2014,7:00p,Washington Wizards,97,Charlotte Bobcats,83,Box Score,,12079,2:06,Time Warner Cable Arena,
Tue Jan 7 2014,7:00p,Philadelphia 76ers,93,Cleveland Cavaliers,111,Box Score,,13344,2:07,Quicken Loans Arena,
Tue Jan 7 2014,7:00p,Toronto Raptors,79,Indiana Pacers,86,Box Score,,16147,2:16,Bankers Life Fieldhouse,
Tue Jan 7 2014,7:30p,New Orleans Pelicans,88,Miami Heat,107,Box Score,,20097,2:10,AmericanAirlines Arena,
Tue Jan 7 2014,7:30p,Detroit Pistons,85,New York Knicks,89,Box Score,,19812,2:20,Madison Square Garden (IV),
Tue Jan 7 2014,8:00p,Phoenix Suns,87,Chicago Bulls,92,Box Score,,21181,2:15,United Center,
Tue Jan 7 2014,8:00p,San Antonio Spurs,110,Memphis Grizzlies,108,Box Score,OT,15916,2:33,FedEx Forum,
Tue Jan 7 2014,8:00p,Golden State Warriors,101,Milwaukee Bucks,80,Box Score,,11739,2:05,BMO Harris Bradley Center,
Tue Jan 7 2014,8:30p,Los Angeles Lakers,97,Dallas Mavericks,110,Box Score,,19656,2:04,American Airlines Center,
Tue Jan 7 2014,9:00p,Boston Celtics,98,Denver Nuggets,129,Box Score,,16224,2:19,Pepsi Center,
Tue Jan 7 2014,9:00p,Oklahoma City Thunder,101,Utah Jazz,112,Box Score,,18547,2:20,EnergySolutions Arena,
Tue Jan 7 2014,10:00p,Portland Trail Blazers,119,Sacramento Kings,123,Box Score,,15518,2:41,Sleep Train Arena,
Wed Jan 8 2014,7:00p,Dallas Mavericks,90,San Antonio Spurs,112,Box Score,,18581,2:11,AT&T Center,
Wed Jan 8 2014,7:00p,Detroit Pistons,91,Toronto Raptors,112,Box Score,,16194,2:23,Air Canada Centre,
Wed Jan 8 2014,7:30p,Indiana Pacers,87,Atlanta Hawks,97,Box Score,,15169,2:10,Philips Arena,
Wed Jan 8 2014,7:30p,Golden State Warriors,98,Brooklyn Nets,102,Box Score,,17732,2:26,Barclays Center,
Wed Jan 8 2014,8:00p,Los Angeles Lakers,99,Houston Rockets,113,Box Score,,18229,2:17,Toyota Center,
Wed Jan 8 2014,8:00p,Washington Wizards,102,New Orleans Pelicans,96,Box Score,,17557,2:16,Smoothie King Center,
Wed Jan 8 2014,9:30p,Phoenix Suns,104,Minnesota Timberwolves,103,Box Score,,12202,2:33,Target Center,
Wed Jan 8 2014,10:00p,Orlando Magic,94,Portland Trail Blazers,110,Box Score,,18949,2:07,Moda Center,
Wed Jan 8 2014,10:30p,Boston Celtics,105,Los Angeles Clippers,111,Box Score,,19214,2:30,STAPLES Center,
Thu Jan 9 2014,8:00p,Miami Heat,92,New York Knicks,102,Box Score,,19812,2:16,Madison Square Garden (IV),
Thu Jan 9 2014,10:30p,Oklahoma City Thunder,88,Denver Nuggets,101,Box Score,,17315,2:21,Pepsi Center,
Fri Jan 10 2014,7:00p,Washington Wizards,66,Indiana Pacers,93,Box Score,,18165,2:09,Bankers Life Fieldhouse,
Fri Jan 10 2014,7:00p,Detroit Pistons,114,Philadelphia 76ers,104,Box Score,,13742,2:17,Wells Fargo Center,
Fri Jan 10 2014,7:30p,Houston Rockets,80,Atlanta Hawks,83,Box Score,,13115,2:14,Philips Arena,
Fri Jan 10 2014,8:00p,Miami Heat,95,Brooklyn Nets,104,Box Score,2OT,17732,3:00,Barclays Center,
Fri Jan 10 2014,8:00p,Phoenix Suns,99,Memphis Grizzlies,104,Box Score,,17049,2:10,FedEx Forum,
Fri Jan 10 2014,8:00p,Charlotte Bobcats,92,Minnesota Timberwolves,119,Box Score,,13767,1:55,Target Center,
Fri Jan 10 2014,8:00p,Dallas Mavericks,107,New Orleans Pelicans,90,Box Score,,16533,2:02,Smoothie King Center,
Fri Jan 10 2014,8:30p,Chicago Bulls,81,Milwaukee Bucks,72,Box Score,,15148,2:14,BMO Harris Bradley Center,
Fri Jan 10 2014,9:00p,Cleveland Cavaliers,113,Utah Jazz,102,Box Score,,18480,2:03,EnergySolutions Arena,
Fri Jan 10 2014,10:00p,Orlando Magic,83,Sacramento Kings,103,Box Score,,15694,2:11,Sleep Train Arena,
Fri Jan 10 2014,10:30p,Boston Celtics,97,Golden State Warriors,99,Box Score,,19596,2:20,Oracle Arena,
Fri Jan 10 2014,10:30p,Los Angeles Lakers,87,Los Angeles Clippers,123,Box Score,,19316,2:28,STAPLES Center,
Sat Jan 11 2014,7:00p,Brooklyn Nets,80,Toronto Raptors,96,Box Score,,19800,2:18,Air Canada Centre,
Sat Jan 11 2014,7:00p,Houston Rockets,114,Washington Wizards,107,Box Score,,17454,3:18,Verizon Center,
Sat Jan 11 2014,7:30p,Phoenix Suns,108,Detroit Pistons,110,Box Score,,15224,2:20,The Palace of Auburn Hills,
Sat Jan 11 2014,7:30p,New York Knicks,102,Philadelphia 76ers,92,Box Score,,16278,2:16,Wells Fargo Center,
Sat Jan 11 2014,8:00p,Charlotte Bobcats,97,Chicago Bulls,103,Box Score,,21413,2:10,United Center,
Sat Jan 11 2014,8:00p,Milwaukee Bucks,85,Oklahoma City Thunder,101,Box Score,,18203,2:16,Chesapeake Energy Arena,
Sat Jan 11 2014,8:30p,New Orleans Pelicans,107,Dallas Mavericks,110,Box Score,,20116,2:30,American Airlines Center,
Sat Jan 11 2014,9:00p,Orlando Magic,94,Denver Nuggets,120,Box Score,,17947,2:06,Pepsi Center,
Sat Jan 11 2014,10:00p,Boston Celtics,104,Portland Trail Blazers,112,Box Score,,20011,2:05,Moda Center,
Sun Jan 12 2014,6:00p,Atlanta Hawks,101,Memphis Grizzlies,108,Box Score,,16841,2:10,FedEx Forum,
Sun Jan 12 2014,6:00p,Cleveland Cavaliers,80,Sacramento Kings,124,Box Score,,16072,2:16,Sleep Train Arena,
Sun Jan 12 2014,7:00p,Minnesota Timberwolves,86,San Antonio Spurs,104,Box Score,,18098,1:55,AT&T Center,
Mon Jan 13 2014,7:00p,Milwaukee Bucks,94,Toronto Raptors,116,Box Score,,15819,2:14,Air Canada Centre,
Mon Jan 13 2014,7:30p,Houston Rockets,104,Boston Celtics,92,Box Score,,17750,2:11,TD Garden,
Mon Jan 13 2014,7:30p,Phoenix Suns,96,New York Knicks,98,Box Score,OT,19812,2:55,Madison Square Garden (IV),
Mon Jan 13 2014,8:00p,Washington Wizards,102,Chicago Bulls,88,Box Score,,21287,2:11,United Center,
Mon Jan 13 2014,8:00p,San Antonio Spurs,101,New Orleans Pelicans,95,Box Score,,15552,2:09,Smoothie King Center,
Mon Jan 13 2014,8:30p,Orlando Magic,88,Dallas Mavericks,107,Box Score,,19695,2:05,American Airlines Center,
Mon Jan 13 2014,9:00p,Denver Nuggets,103,Utah Jazz,118,Box Score,,17232,2:16,EnergySolutions Arena,
Tue Jan 14 2014,7:00p,New York Knicks,98,Charlotte Bobcats,108,Box Score,,15156,2:10,Time Warner Cable Arena,
Tue Jan 14 2014,7:00p,Sacramento Kings,92,Indiana Pacers,116,Box Score,,17530,2:12,Bankers Life Fieldhouse,
Tue Jan 14 2014,8:00p,Oklahoma City Thunder,87,Memphis Grizzlies,90,Box Score,,17177,2:21,FedEx Forum,
Tue Jan 14 2014,10:30p,Cleveland Cavaliers,120,Los Angeles Lakers,118,Box Score,,18997,2:17,STAPLES Center,
Wed Jan 15 2014,7:00p,Chicago Bulls,128,Orlando Magic,125,Box Score,3OT,16489,3:08,Amway Center,
Wed Jan 15 2014,7:00p,Charlotte Bobcats,92,Philadelphia 76ers,95,Box Score,,10106,2:16,Wells Fargo Center,
Wed Jan 15 2014,7:00p,Miami Heat,97,Washington Wizards,114,Box Score,,20356,2:09,Verizon Center,
Wed Jan 15 2014,7:30p,Toronto Raptors,83,Boston Celtics,88,Box Score,,17569,2:23,TD Garden,
Wed Jan 15 2014,8:00p,Memphis Grizzlies,82,Milwaukee Bucks,77,Box Score,,11379,2:09,BMO Harris Bradley Center,
Wed Jan 15 2014,8:00p,Sacramento Kings,111,Minnesota Timberwolves,108,Box Score,,12399,2:19,Target Center,
Wed Jan 15 2014,8:00p,Houston Rockets,103,New Orleans Pelicans,100,Box Score,,15918,2:25,Smoothie King Center,
Wed Jan 15 2014,8:00p,Utah Jazz,105,San Antonio Spurs,109,Box Score,,17917,2:17,AT&T Center,
Wed Jan 15 2014,9:00p,Los Angeles Lakers,114,Phoenix Suns,121,Box Score,,16022,2:22,US Airways Center,
Wed Jan 15 2014,10:00p,Cleveland Cavaliers,96,Portland Trail Blazers,108,Box Score,,19998,2:12,Moda Center,
Wed Jan 15 2014,10:30p,Denver Nuggets,123,Golden State Warriors,116,Box Score,,19596,2:33,Oracle Arena,
Wed Jan 15 2014,10:30p,Dallas Mavericks,127,Los Angeles Clippers,129,Box Score,,19208,2:27,STAPLES Center,
Thu Jan 16 2014,3:00p,Brooklyn Nets,127,Atlanta Hawks,110,Box Score,,18689,2:02,The O2 Arena,at London England
Thu Jan 16 2014,7:00p,New York Knicks,89,Indiana Pacers,117,Box Score,,18165,2:24,Bankers Life Fieldhouse,
Thu Jan 16 2014,9:30p,Oklahoma City Thunder,104,Houston Rockets,92,Box Score,,18231,2:30,Toyota Center,
Fri Jan 17 2014,7:00p,Los Angeles Clippers,109,New York Knicks,95,Box Score,,19812,2:35,Madison Square Garden (IV),
Fri Jan 17 2014,7:00p,Charlotte Bobcats,111,Orlando Magic,101,Box Score,,16164,2:16,Amway Center,
Fri Jan 17 2014,7:00p,Miami Heat,101,Philadelphia 76ers,86,Box Score,,19286,2:22,Wells Fargo Center,
Fri Jan 17 2014,7:00p,Minnesota Timberwolves,89,Toronto Raptors,94,Box Score,,19800,2:20,Air Canada Centre,
Fri Jan 17 2014,7:00p,Chicago Bulls,93,Washington Wizards,96,Box Score,,17005,2:11,Verizon Center,
Fri Jan 17 2014,7:30p,Los Angeles Lakers,107,Boston Celtics,104,Box Score,,18624,2:16,TD Garden,
Fri Jan 17 2014,7:30p,Utah Jazz,110,Detroit Pistons,89,Box Score,,18528,2:09,The Palace of Auburn Hills,
Fri Jan 17 2014,8:00p,Sacramento Kings,90,Memphis Grizzlies,91,Box Score,,17212,2:18,FedEx Forum,
Fri Jan 17 2014,8:30p,Portland Trail Blazers,109,San Antonio Spurs,100,Box Score,,18581,2:06,AT&T Center,
Fri Jan 17 2014,9:00p,Cleveland Cavaliers,117,Denver Nuggets,109,Box Score,,18486,2:20,Pepsi Center,
Fri Jan 17 2014,9:00p,Dallas Mavericks,110,Phoenix Suns,107,Box Score,,16486,2:22,US Airways Center,
Fri Jan 17 2014,9:30p,Golden State Warriors,121,Oklahoma City Thunder,127,Box Score,,18203,2:35,Chesapeake Energy Arena,
Sat Jan 18 2014,7:00p,Los Angeles Clippers,92,Indiana Pacers,106,Box Score,,18165,2:16,Bankers Life Fieldhouse,
Sat Jan 18 2014,7:00p,Detroit Pistons,104,Washington Wizards,98,Box Score,,17039,2:24,Verizon Center,
Sat Jan 18 2014,7:30p,Miami Heat,104,Charlotte Bobcats,96,Box Score,OT,19631,2:30,Time Warner Cable Arena,
Sat Jan 18 2014,8:00p,Philadelphia 76ers,78,Chicago Bulls,103,Box Score,,21710,2:11,United Center,
Sat Jan 18 2014,8:00p,Milwaukee Bucks,104,Houston Rockets,114,Box Score,,18082,2:10,Toyota Center,
Sat Jan 18 2014,8:00p,Utah Jazz,72,Minnesota Timberwolves,98,Box Score,,17111,2:08,Target Center,
Sat Jan 18 2014,8:00p,Golden State Warriors,97,New Orleans Pelicans,87,Box Score,,18045,2:05,Smoothie King Center,
Sat Jan 18 2014,8:30p,Portland Trail Blazers,127,Dallas Mavericks,111,Box Score,,20375,2:20,American Airlines Center,
Sun Jan 19 2014,1:00p,Los Angeles Lakers,112,Toronto Raptors,106,Box Score,,17706,2:15,Air Canada Centre,
Sun Jan 19 2014,6:00p,Boston Celtics,91,Orlando Magic,93,Box Score,,17548,2:27,Amway Center,
Sun Jan 19 2014,7:00p,Sacramento Kings,93,Oklahoma City Thunder,108,Box Score,,18203,2:17,Chesapeake Energy Arena,
Sun Jan 19 2014,7:00p,Milwaukee Bucks,82,San Antonio Spurs,110,Box Score,,18096,1:57,AT&T Center,
Sun Jan 19 2014,8:00p,Denver Nuggets,103,Phoenix Suns,117,Box Score,,16211,2:14,US Airways Center,
Mon Jan 20 2014,1:00p,Dallas Mavericks,102,Cleveland Cavaliers,97,Box Score,,18762,2:22,Quicken Loans Arena,
Mon Jan 20 2014,1:00p,Los Angeles Clippers,112,Detroit Pistons,103,Box Score,,17417,2:26,The Palace of Auburn Hills,
Mon Jan 20 2014,2:00p,Toronto Raptors,95,Charlotte Bobcats,100,Box Score,,14929,2:07,Time Warner Cable Arena,
Mon Jan 20 2014,2:00p,Philadelphia 76ers,99,Washington Wizards,107,Box Score,,18650,2:16,Verizon Center,
Mon Jan 20 2014,2:30p,Brooklyn Nets,103,New York Knicks,80,Box Score,,19812,2:19,Madison Square Garden (IV),
Mon Jan 20 2014,5:00p,New Orleans Pelicans,95,Memphis Grizzlies,92,Box Score,,17485,2:16,FedEx Forum,
Mon Jan 20 2014,5:30p,Miami Heat,114,Atlanta Hawks,121,Box Score,,19262,2:19,Philips Arena,
Mon Jan 20 2014,8:00p,Los Angeles Lakers,100,Chicago Bulls,102,Box Score,OT,21626,2:26,United Center,
Mon Jan 20 2014,8:00p,Portland Trail Blazers,113,Houston Rockets,126,Box Score,,18135,2:23,Toyota Center,
Mon Jan 20 2014,10:30p,Indiana Pacers,102,Golden State Warriors,94,Box Score,,19596,2:25,Oracle Arena,
Tue Jan 21 2014,7:30p,Orlando Magic,90,Brooklyn Nets,101,Box Score,,15482,2:01,Barclays Center,
Tue Jan 21 2014,7:30p,Boston Celtics,86,Miami Heat,93,Box Score,,19619,2:14,AmericanAirlines Arena,
Tue Jan 21 2014,8:00p,Sacramento Kings,114,New Orleans Pelicans,97,Box Score,,16459,2:20,Smoothie King Center,
Tue Jan 21 2014,8:00p,Portland Trail Blazers,97,Oklahoma City Thunder,105,Box Score,,18203,2:05,Chesapeake Energy Arena,
Tue Jan 21 2014,9:00p,Minnesota Timberwolves,112,Utah Jazz,97,Box Score,,16387,2:05,EnergySolutions Arena,
Wed Jan 22 2014,7:00p,Los Angeles Clippers,91,Charlotte Bobcats,95,Box Score,,14760,2:08,Time Warner Cable Arena,
Wed Jan 22 2014,7:00p,Chicago Bulls,98,Cleveland Cavaliers,87,Box Score,,16890,2:07,Quicken Loans Arena,
Wed Jan 22 2014,7:00p,Atlanta Hawks,112,Orlando Magic,109,Box Score,,16713,2:11,Amway Center,
Wed Jan 22 2014,7:00p,Dallas Mavericks,85,Toronto Raptors,93,Box Score,,18179,2:17,Air Canada Centre,
Wed Jan 22 2014,7:00p,Boston Celtics,113,Washington Wizards,111,Box Score,OT,14492,2:34,Verizon Center,
Wed Jan 22 2014,7:30p,Philadelphia 76ers,110,New York Knicks,106,Box Score,,19812,2:30,Madison Square Garden (IV),
Wed Jan 22 2014,8:00p,Sacramento Kings,98,Houston Rockets,119,Box Score,,16488,2:24,Toyota Center,
Wed Jan 22 2014,8:00p,Detroit Pistons,101,Milwaukee Bucks,104,Box Score,,11266,2:18,BMO Harris Bradley Center,
Wed Jan 22 2014,8:00p,Oklahoma City Thunder,111,San Antonio Spurs,105,Box Score,,18581,2:34,AT&T Center,
Wed Jan 22 2014,10:30p,Indiana Pacers,100,Phoenix Suns,124,Box Score,,16465,2:27,US Airways Center,
Thu Jan 23 2014,8:00p,Los Angeles Lakers,102,Miami Heat,109,Box Score,,19608,2:22,AmericanAirlines Arena,
Thu Jan 23 2014,10:30p,Denver Nuggets,105,Portland Trail Blazers,110,Box Score,,20066,2:35,Moda Center,
Fri Jan 24 2014,7:00p,Los Angeles Lakers,105,Orlando Magic,114,Box Score,,16101,2:07,Amway Center,
Fri Jan 24 2014,7:00p,Toronto Raptors,104,Philadelphia 76ers,95,Box Score,,11489,2:10,Wells Fargo Center,
Fri Jan 24 2014,7:30p,San Antonio Spurs,105,Atlanta Hawks,79,Box Score,,17601,2:03,Philips Arena,
Fri Jan 24 2014,7:30p,Oklahoma City Thunder,101,Boston Celtics,83,Box Score,,18624,2:02,TD Garden,
Fri Jan 24 2014,7:30p,Dallas Mavericks,106,Brooklyn Nets,107,Box Score,,16110,2:20,Barclays Center,
Fri Jan 24 2014,7:30p,Milwaukee Bucks,78,Cleveland Cavaliers,93,Box Score,,17147,2:10,Quicken Loans Arena,
Fri Jan 24 2014,7:30p,New Orleans Pelicans,103,Detroit Pistons,101,Box Score,,14107,2:17,The Palace of Auburn Hills,
Fri Jan 24 2014,7:30p,Charlotte Bobcats,96,New York Knicks,125,Box Score,,19812,2:07,Madison Square Garden (IV),
Fri Jan 24 2014,8:00p,Los Angeles Clippers,112,Chicago Bulls,95,Box Score,,21755,2:15,United Center,
Fri Jan 24 2014,8:00p,Memphis Grizzlies,88,Houston Rockets,87,Box Score,,16998,2:14,Toyota Center,
Fri Jan 24 2014,9:00p,Washington Wizards,101,Phoenix Suns,95,Box Score,,16198,2:17,US Airways Center,
Fri Jan 24 2014,10:00p,Indiana Pacers,116,Sacramento Kings,111,Box Score,OT,17317,2:49,Sleep Train Arena,
Fri Jan 24 2014,10:30p,Minnesota Timberwolves,121,Golden State Warriors,120,Box Score,,19596,2:06,Oracle Arena,
Sat Jan 25 2014,7:00p,Chicago Bulls,89,Charlotte Bobcats,87,Box Score,,18252,2:08,Time Warner Cable Arena,
Sat Jan 25 2014,7:00p,Los Angeles Clippers,126,Toronto Raptors,118,Box Score,,19800,2:31,Air Canada Centre,
Sat Jan 25 2014,7:30p,Oklahoma City Thunder,103,Philadelphia 76ers,91,Box Score,,19217,2:14,Wells Fargo Center,
Sat Jan 25 2014,8:00p,Houston Rockets,81,Memphis Grizzlies,99,Box Score,,17512,2:08,FedEx Forum,
Sat Jan 25 2014,8:30p,Atlanta Hawks,112,Milwaukee Bucks,87,Box Score,,15879,2:05,BMO Harris Bradley Center,
Sat Jan 25 2014,9:00p,Indiana Pacers,96,Denver Nuggets,109,Box Score,,19155,2:21,Pepsi Center,
Sat Jan 25 2014,9:00p,Washington Wizards,101,Utah Jazz,104,Box Score,,17754,2:08,EnergySolutions Arena,
Sat Jan 25 2014,10:00p,Minnesota Timberwolves,104,Portland Trail Blazers,115,Box Score,,20006,2:05,Moda Center,
Sun Jan 26 2014,1:00p,San Antonio Spurs,101,Miami Heat,113,Box Score,,19683,2:20,AmericanAirlines Arena,
Sun Jan 26 2014,3:30p,Los Angeles Lakers,103,New York Knicks,110,Box Score,,19812,2:19,Madison Square Garden (IV),
Sun Jan 26 2014,6:00p,Phoenix Suns,99,Cleveland Cavaliers,90,Box Score,,15872,2:13,Quicken Loans Arena,
Sun Jan 26 2014,6:00p,Orlando Magic,92,New Orleans Pelicans,100,Box Score,,17197,2:16,Smoothie King Center,
